trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,-17,-118.89556135519798,"{0: 28, 1: 0, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,-67,-286.47681088900356,"{0: 59, 1: 4, 2: 18, 3: 3, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,-100,-561.5943550575893,"{0: 85, 1: 14, 2: 21, 3: 0, 4: 10}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,-2,-80.68255499198703,"{0: 24, 1: 1, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,-61,-374.92695088742494,"{0: 57, 1: 7, 2: 20, 3: 2, 4: 5}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,-9,-103.11868059592848,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,4,-86.23676608169235,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,-2,-147.9985866215499,"{0: 16, 1: 3, 2: 4, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,-17,-109.31895775039423,"{0: 32, 1: 2, 2: 5, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,10,-58.02419432830408,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,10,-35.80238506173997,"{0: 12, 1: 0, 2: 0, 3: 3, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,-29,-95.35116690722089,"{0: 42, 1: 4, 2: 4, 3: 3, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,5,-21.614165982210377,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,-14,-91.04048339471636,"{0: 33, 1: 1, 2: 2, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,5,14.993525122775695,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,17,14.996621799643883,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,9,-35.404843520704134,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,10,22.921816302530846,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,3,41.15648344284895,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,17,22.6747471695141,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,14,10.58482798442602,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,1,45.1541109690919,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",30,21,16.18730625763652,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,5,13.103961045923532,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,3,33.65533090543699,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",35,17,34.30242846203685,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,15,6.084245898422668,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,6,26.97204906748157,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,16,8.475739527284517,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,16,9.665482289877511,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
