trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,-83,-593.621958189354,"{0: 61, 1: 11, 2: 17, 3: 6, 4: 8}",0
2,False,"{'a': 0.5, 'e': 0.9801}",30,-9,-132.3396210966155,"{0: 25, 1: 5, 2: 7, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.970299}",20,-100,-497.29569058748143,"{0: 76, 1: 15, 2: 19, 3: 3, 4: 7}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",20,-52,-276.46964258756475,"{0: 43, 1: 14, 2: 11, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",30,-82,-339.00428933876583,"{0: 77, 1: 9, 2: 20, 3: 2, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",25,-35,-466.57267697556614,"{0: 29, 1: 6, 2: 16, 3: 2, 4: 7}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",30,16,-75.15096781855048,"{0: 7, 1: 3, 2: 3, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",25,-100,-630.332738289599,"{0: 73, 1: 18, 2: 18, 3: 9, 4: 7}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",20,-7,-274.8113339282423,"{0: 13, 1: 5, 2: 3, 3: 0, 4: 6}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",30,-95,-359.19842638655007,"{0: 81, 1: 18, 2: 21, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",25,-100,-608.56508270349,"{0: 73, 1: 18, 2: 21, 3: 5, 4: 8}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",20,1,-37.07641730537946,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,-100,-576.530880909781,"{0: 78, 1: 8, 2: 19, 3: 7, 4: 8}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",30,17,-57.93058439597518,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",25,-32,-199.10568292471527,"{0: 39, 1: 5, 2: 9, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",20,6,-59.765254770604535,"{0: 8, 1: 3, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",20,-12,-210.2205474497898,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",20,-52,-150.84899327940855,"{0: 53, 1: 7, 2: 8, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",25,-90,-521.1039461399919,"{0: 73, 1: 12, 2: 17, 3: 6, 4: 7}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",30,-48,-355.44051880353095,"{0: 44, 1: 10, 2: 19, 3: 1, 4: 4}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",20,-91,-395.8982452973441,"{0: 74, 1: 11, 2: 19, 3: 1, 4: 6}",0
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",20,-12,-29.115091162732888,"{0: 23, 1: 5, 2: 4, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.7936142836436554}",20,-17,-265.2182785834238,"{0: 18, 1: 4, 2: 10, 3: 1, 4: 4}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",25,-37,-349.47779735400417,"{0: 38, 1: 9, 2: 6, 3: 3, 4: 6}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991467}",25,-1,-171.88076240149545,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 3}",1
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",20,1,-21.65631762669299,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",30,3,-25.44179239655379,"{0: 21, 1: 1, 2: 4, 3: 1, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.7547192872036326}",20,5,-70.49248832478894,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",30,0,-10.643838802227743,"{0: 23, 1: 4, 2: 3, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",25,13,-24.230367800573053,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.7323033696543975}",20,15,7.750578782840207,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",25,4,-138.52532207702836,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 2}",1
33,False,"{'a': 0.5, 'e': 0.7177305325982749}",30,-20,-111.08008310066202,"{0: 35, 1: 4, 2: 9, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",25,-16,-103.99293673181079,"{0: 29, 1: 2, 2: 8, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",25,-63,-276.8720758836132,"{0: 60, 1: 8, 2: 13, 3: 4, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",30,7,-16.80406552577426,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.6894490858690777}",20,15,8.937625273597138,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.682554595010387}",25,-15,-99.43262227765203,"{0: 26, 1: 7, 2: 5, 3: 1, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",20,9,-21.260606262130608,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",30,5,-67.22420722630066,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",1
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",20,-37,-249.22100186231182,"{0: 40, 1: 4, 2: 6, 3: 2, 4: 5}",0
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",30,17,-55.397875282039735,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",20,-23,-118.04809876149268,"{0: 31, 1: 2, 2: 8, 3: 0, 4: 2}",0
