trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",20,-100,-600.4056793497809,"{0: 69, 1: 14, 2: 27, 3: 2, 4: 8}",0
2,False,"{'a': 0.5, 'e': 0.9801}",25,18,-11.340065915131097,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.970299}",20,-100,-597.5762327933365,"{0: 72, 1: 12, 2: 23, 3: 6, 4: 7}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",25,-100,-430.9493079002452,"{0: 82, 1: 11, 2: 22, 3: 6, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",20,-40,-366.05010362222896,"{0: 34, 1: 4, 2: 15, 3: 2, 4: 5}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",30,-8,-335.29342701120953,"{0: 20, 1: 5, 2: 6, 3: 0, 4: 7}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,-100,-695.9407956119518,"{0: 75, 1: 11, 2: 20, 3: 1, 4: 13}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",25,-100,-645.6333013342868,"{0: 71, 1: 10, 2: 34, 3: 3, 4: 7}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",20,-100,-823.2002905751934,"{0: 58, 1: 14, 2: 33, 3: 5, 4: 10}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,-100,-592.5536507716755,"{0: 70, 1: 10, 2: 28, 3: 6, 4: 6}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,-21,-197.14079354453824,"{0: 24, 1: 4, 2: 8, 3: 3, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",30,-100,-628.209679662347,"{0: 74, 1: 15, 2: 30, 3: 4, 4: 7}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,-17,-109.81452667850056,"{0: 24, 1: 3, 2: 9, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,-100,-800.5219828508402,"{0: 65, 1: 12, 2: 24, 3: 8, 4: 11}",0
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",20,-16,-200.75851812035452,"{0: 21, 1: 5, 2: 5, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",20,-7,-81.48949368013514,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",25,-100,-575.6582438938544,"{0: 75, 1: 12, 2: 27, 3: 5, 4: 6}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",20,-64,-373.41255637779545,"{0: 55, 1: 6, 2: 12, 3: 7, 4: 4}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",20,-86,-421.00807205398587,"{0: 65, 1: 16, 2: 14, 3: 7, 4: 4}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",25,4,-113.29327205690686,"{0: 10, 1: 5, 2: 3, 3: 2, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",30,-21,-327.764375585275,"{0: 27, 1: 6, 2: 10, 3: 4, 4: 4}",0
2,True,"{'a': 0, 'e': 0}",25,1,-167.28433946846485,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 3}",1
3,True,"{'a': 0, 'e': 0}",25,-17,-207.89232711023382,"{0: 25, 1: 6, 2: 7, 3: 1, 4: 3}",0
4,True,"{'a': 0, 'e': 0}",20,-94,-705.0349151965729,"{0: 68, 1: 16, 2: 12, 3: 6, 4: 12}",0
5,True,"{'a': 0, 'e': 0}",30,16,-104.84337561424017,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 2}",1
6,True,"{'a': 0, 'e': 0}",20,-100,-443.13726849954793,"{0: 74, 1: 11, 2: 27, 3: 5, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,-100,-637.5882987859912,"{0: 79, 1: 10, 2: 15, 3: 5, 4: 11}",0
8,True,"{'a': 0, 'e': 0}",35,-90,-642.7182204460345,"{0: 70, 1: 16, 2: 26, 3: 6, 4: 7}",0
9,True,"{'a': 0, 'e': 0}",20,12,-61.12146197850416,"{0: 4, 1: 0, 2: 3, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",25,-33,-328.39666126532074,"{0: 32, 1: 11, 2: 8, 3: 2, 4: 5}",0
